id,id_pais,nombre,latitud,longitud
1,1,Madrid,40.4168,-3.7038
2,1,Barcelona,41.3851,2.1734
3,1,Valencia,39.4699,-0.3763
4,1,Sevilla,37.3886,-5.9822
5,1,Bilbao,43.2630,-2.9350
6,1,Málaga,36.7213,-4.4215
7,2,París,48.8566,2.3522
8,2,Marsella,43.2965,5.3698
9,2,Lyon,45.7578,4.8320
10,2,Toulouse,43.6047,1.4442
11,2,Niza,43.7102,7.2620
12,2,Nantes,47.2184,-1.5536
13,3,Nueva York,40.7128,-74.0060
14,3,Los Ángeles,34.0522,-118.2437
15,3,Chicago,41.8781,-87.6298
16,3,Houston,29.7604,-95.3698
17,3,Miami,25.7617,-80.1918
18,3,Las Vegas,36.1699,-115.1398
19,4,Tokio,35.6895,139.6917
20,4,Kioto,35.0116,135.7681
21,4,Osaka,34.6937,135.5023
22,4,Sapporo,43.0618,141.3545
23,4,Nagoya,35.1815,136.9066
24,4,Fukuoka,33.5904,130.4017
25,5,Londres,51.5074,-0.1278
26,5,Birmingham,52.4862,-1.8904
27,5,Manchester,53.4808,-2.2426
28,5,Liverpool,53.4084,-2.9916
29,5,Glasgow,55.8642,-4.2518
30,5,Edimburgo,55.9533,-3.1883
31,6,Sídney,-33.8688,151.2093
32,6,Melbourne,-37.8136,144.9631
33,6,Brisbane,-27.4698,153.0251
34,6,Perth,-31.9505,115.8605
35,6,Adelaida,-34.9285,138.6007
36,6,Canberra,-35.2809,149.1300
